Byte      ; Description
0x00      ; other
0x01      ; oil
0x02      ; electricity
0x03      ; gas
0x04      ; heat
0x05      ; steam
0x06      ; warm_water
0x07      ; water
0x08      ; heat_cost_allocator
0x09      ; compressed_air
0x0A      ; cooling_load_meter_outlet
0x0B      ; cooling_load_meter_inlet
0x0C      ; heat_inlet
0x0D      ; heat_cooling_load_meter
0x0E      ; bus
0x0F      ; unknown
0x14      ; calorific_value
0x15      ; hot_water
0x16      ; cold_water
0x17      ; hot_cold_water
0x18      ; pressure
0x19      ; ad_converter
0x1A      ; smoke_detector
0x1B      ; room_sensor
0x1C      ; gas_detector
0x1D..0x1F; generic_sensor
0x20      ; electricity_breaker
0x21      ; valve
0x25      ; display_device
0x28      ; waste_water
0x29      ; garbage
0x2A      ; co2
0x31      ; communication_controller
0x32      ; unidirectional_repeater
0x33      ; bidirectional_repeater
0x36      ; radio_converter_system_side
0x37      ; radio_converter_meter_side
0x38      ; wired_adapter
